# Time-averaged data for fix stress_ave
# TimeStep v_strain_z v_strain_x v_strain_y v_stress_z
157000 0.0075775 -0.00758068 0.00517042 -18.1943
158000 0.0076275 -0.00541131 0.002977 18.5483
159000 0.0076775 -0.00921665 0.00831686 29.1149
160000 0.0077275 -0.00413449 0.00464932 3.82009
161000 0.0077775 -0.00735602 0.00545599 -24.0413
162000 0.0078275 -0.0073062 0.00594597 -19.2057
163000 0.0078775 -0.00666532 0.00555166 35.285
164000 0.0079275 -0.00496334 0.000315501 -18.2706
165000 0.0079775 -0.00454275 0.00221018 -65.5454
166000 0.0080275 -0.00641292 0.00784839 36.0355
167000 0.0080775 -0.00377202 0.00330189 -3.60282
168000 0.0081275 -0.00760002 0.00586923 -24.2997
169000 0.0081775 -0.00681588 0.00416456 -54.7931
170000 0.0082275 -0.0120947 0.00905689 25.6809
171000 0.0082775 -0.00878552 0.00778195 -8.03986
172000 0.0083275 -0.00802405 0.00577537 -35.2881
173000 0.0083775 -0.00593928 0.00402585 2.88744
174000 0.0084275 -0.0056284 0.00357363 -17.7876
175000 0.0084775 -0.00596329 0.0036469 27.5092
176000 0.0085275 -0.00465458 0.00314569 -6.5428
177000 0.0085775 -0.00751598 0.00695615 -2.36093
178000 0.0086275 -0.00435917 0.00348736 -0.567451
179000 0.0086775 -0.0045364 -1.12021e-05 -23.1893
180000 0.0087275 -0.00850133 0.00710116 -16.0417
181000 0.0087775 -0.00667327 0.00542926 -9.57911
182000 0.0088275 -0.00932701 0.00712443 -8.22013
183000 0.0088775 -0.00646333 0.00410799 1.33221
184000 0.0089275 -0.00388568 0.00424654 10.0402
185000 0.0089775 -0.00541767 0.00139716 -8.34575
186000 0.0090275 -0.00793413 0.00739747 -1.72853
187000 0.0090775 -0.00651023 0.00427977 -15.0417
188000 0.0091275 -0.00616884 0.00150312 -20.0117
189000 0.0091775 -0.00868142 0.00432882 3.39647
190000 0.0092275 -0.00551515 0.00283779 -15.4684
191000 0.0092775 -0.00668468 0.00438059 10.203
192000 0.0093275 -0.00995865 0.00588848 -7.46841
193000 0.0093775 -0.00662207 0.00631927 -35.8099
194000 0.0094275 -0.00680128 0.003877 -5.74563
195000 0.0094775 -0.00883481 0.00656333 -1.26942
196000 0.0095275 -0.00503968 0.00268292 -1.05072
197000 0.0095775 -0.00544809 0.00298293 -32.541
198000 0.0096275 -0.00736417 0.0032088 -4.283
199000 0.0096775 -0.0102651 0.00790277 -22.0225
200000 0.0097275 -0.00545636 0.00124483 -7.83793
201000 0.0097775 -0.00710703 0.00571405 12.2156
202000 0.0098275 -0.00916759 0.00630509 23.0616
203000 0.0098775 -0.00480977 0.00476368 8.43687
204000 0.0099275 -0.00932373 0.00448814 6.51479
205000 0.0099775 -0.00603291 0.00409508 -3.07792
206000 0.0100275 -0.00639155 0.00446005 32.3385
207000 0.0100775 -0.00425039 0.000451999 12.0453
208000 0.0101275 -0.00915598 0.00669129 -23.6527
209000 0.0101775 -0.00950654 0.00405667 -9.72544
210000 0.0102275 -0.00395287 -0.000440538 9.62601
211000 0.0102775 -0.00364923 0.00324997 -5.21894
212000 0.0103275 -0.0103373 0.00406078 -32.2735
213000 0.0103775 -0.0051165 0.000605178 17.2689
214000 0.0104275 -0.00841758 0.00323567 18.6661
215000 0.0104775 -0.00523805 0.00185814 4.96581
216000 0.0105275 -0.0092621 0.00361404 32.7098
217000 0.0105775 -0.00578162 0.00236677 -24.5659
218000 0.0106275 -0.00591893 0.00513333 -20.4862
219000 0.0106775 -0.00691874 0.00235234 -20.5817
220000 0.0107275 -0.00923457 0.00574319 -6.75042
221000 0.0107775 -0.00771404 0.00184333 14.9818
222000 0.0108275 -0.00574205 0.00128982 0.0416172
223000 0.0108775 -0.0104499 0.00658994 -25.7534
224000 0.0109275 -0.00748391 0.00466083 -29.1018
225000 0.0109775 -0.00643018 0.00161972 -23.6026
226000 0.0110275 -0.00543529 0.00286055 23.1212
227000 0.0110775 -0.00781599 0.00559719 -0.528253
228000 0.0111275 -0.0103122 0.0062104 -32.1532
229000 0.0111775 -0.0102959 0.00533656 -2.39254
230000 0.0112275 -0.010245 0.0040897 -2.84499
231000 0.0112775 -0.00948031 0.00588228 -27.1443
232000 0.0113275 -0.0120616 0.00549924 -21.1737
233000 0.0113775 -0.00612882 0.000938216 37.57
234000 0.0114275 -0.00951191 0.00382116 8.78459
235000 0.0114775 -0.00916696 0.00418437 -15.631
236000 0.0115275 -0.00435962 0.000412079 52.9955
237000 0.0115775 -0.0089788 0.00425336 -17.3418
238000 0.0116275 -0.00688933 0.00338193 -31.0045
239000 0.0116775 -0.00831494 0.00374827 29.4818
